geoid,name,B03002001,"B03002001, Error",B03002002,"B03002002, Error",B03002003,"B03002003, Error",B03002004,"B03002004, Error",B03002005,"B03002005, Error",B03002006,"B03002006, Error",B03002007,"B03002007, Error",B03002008,"B03002008, Error",B03002009,"B03002009, Error",B03002010,"B03002010, Error",B03002011,"B03002011, Error",B03002012,"B03002012, Error",B03002013,"B03002013, Error",B03002014,"B03002014, Error",B03002015,"B03002015, Error",B03002016,"B03002016, Error",B03002017,"B03002017, Error",B03002018,"B03002018, Error",B03002019,"B03002019, Error",B03002020,"B03002020, Error",B03002021,"B03002021, Error"
86000US91711,91711,36484,273,28735,661,20595,799,1542,389,82,73,5496,631,52,60,72,60,896,246,18,27,878,243,7749,709,5374,664,87,98,135,128,41,34,13,14,1617,501,482,198,144,71,338,183
86000US91722,91722,36352,1499,12330,969,7430,872,705,255,88,65,3533,517,23,35,0,26,551,243,211,181,340,174,24022,1727,11112,1209,104,71,63,45,112,91,0,26,11270,1786,1361,486,925,458,436,202
86000US91723,91723,20010,1070,8784,831,5285,668,749,305,19,20,2150,482,21,34,55,61,505,297,0,19,505,297,11226,1049,4899,884,102,86,84,98,149,130,0,19,5592,1077,400,176,298,161,102,98
86000US91724,91724,25405,1198,12603,819,8508,635,1022,356,0,23,2569,441,12,19,18,28,474,179,40,37,434,182,12802,1081,6104,900,28,26,8,12,130,102,0,23,5513,812,1019,381,710,344,309,172
86000US91731,91731,29209,1174,9976,771,1547,326,63,50,29,37,8150,742,115,122,0,23,72,53,12,18,60,50,19233,1237,13271,1140,62,48,78,61,67,70,0,23,5397,1081,358,184,250,171,108,72
86000US91732,91732,63849,1292,21692,1135,2846,413,359,209,45,38,17819,1059,150,152,58,84,415,263,0,29,415,263,42157,1394,27748,1811,83,115,171,98,51,40,0,29,13447,1670,657,252,526,239,131,79
86000US91733,91733,43790,1464,10154,891,1298,299,46,33,116,105,8442,846,124,109,47,68,81,87,6,9,75,86,33636,1477,26628,1487,18,18,406,259,23,35,0,26,5892,1084,669,214,344,158,325,156
86000US91740,91740,26324,909,16551,1000,13024,868,753,283,76,60,1775,439,0,23,132,131,791,258,13,21,778,255,9773,747,6602,809,21,28,2,4,118,114,0,23,2621,564,409,166,203,115,206,126
86000US91741,91741,25678,884,20019,844,16975,778,434,224,87,70,2038,379,8,13,8,14,469,162,32,41,437,153,5659,593,3744,603,58,63,111,126,97,136,0,23,1366,392,283,145,131,89,152,125
86000US91744,91744,87096,2010,14010,969,4672,548,1290,313,111,63,7244,707,43,38,99,101,551,228,210,169,341,164,73086,1950,45345,2544,217,128,521,266,47,42,7,11,24833,2237,2116,515,1353,466,763,236
