X,CreatedWeekday,CreatedHour,RequestSource,count,daynum
150,Sat,5,Mobile App,43,6
151,Sat,6,Mobile App,193,6
152,Sat,7,Mobile App,559,6
153,Sat,8,Mobile App,994,6
154,Sat,9,Mobile App,1440,6
155,Sat,10,Mobile App,1757,6
156,Sat,11,Mobile App,1599,6
157,Sat,12,Mobile App,1359,6
158,Sat,13,Mobile App,1231,6
159,Sat,14,Mobile App,1025,6
160,Sat,15,Mobile App,1144,6
161,Sat,16,Mobile App,868,6
162,Sat,17,Mobile App,827,6
163,Sat,18,Mobile App,667,6
164,Sat,19,Mobile App,591,6
165,Sat,20,Mobile App,458,6
166,Sat,21,Mobile App,335,6
167,Sat,22,Mobile App,293,6
168,Sat,23,Mobile App,217,6
