"","Zip.Code","count","long","lat","order","hole","piece","group","city","state"
"1",90001,11555,-118.265185,33.989227,4836271,FALSE,"1","90001.1","Los Angeles","CA"
"2",90001,11555,-118.256436,33.989317,4836272,FALSE,"1","90001.1","Los Angeles","CA"
"3",90001,11555,-118.256436,33.989498,4836273,FALSE,"1","90001.1","Los Angeles","CA"
"4",90001,11555,-118.243139,33.989443,4836274,FALSE,"1","90001.1","Los Angeles","CA"
"5",90001,11555,-118.241159,33.989422,4836275,FALSE,"1","90001.1","Los Angeles","CA"
"6",90001,11555,-118.241126,33.988174,4836276,FALSE,"1","90001.1","Los Angeles","CA"
"7",90001,11555,-118.240505,33.988158,4836277,FALSE,"1","90001.1","Los Angeles","CA"
"8",90001,11555,-118.240502,33.98867,4836278,FALSE,"1","90001.1","Los Angeles","CA"
"9",90001,11555,-118.23899,33.988664,4836279,FALSE,"1","90001.1","Los Angeles","CA"
"10",90001,11555,-118.239021,33.989403,4836280,FALSE,"1","90001.1","Los Angeles","CA"
"11",90001,11555,-118.237918,33.989393,4836281,FALSE,"1","90001.1","Los Angeles","CA"
"12",90001,11555,-118.237907,33.989333,4836282,FALSE,"1","90001.1","Los Angeles","CA"
"13",90001,11555,-118.235685,33.979486,4836283,FALSE,"1","90001.1","Los Angeles","CA"
"14",90001,11555,-118.234324,33.974732,4836284,FALSE,"1","90001.1","Los Angeles","CA"
"15",90001,11555,-118.233915,33.970674,4836285,FALSE,"1","90001.1","Los Angeles","CA"
"16",90001,11555,-118.232405,33.965314,4836286,FALSE,"1","90001.1","Los Angeles","CA"
"17",90001,11555,-118.230198,33.961927,4836287,FALSE,"1","90001.1","Los Angeles","CA"
"18",90001,11555,-118.230013,33.961768,4836288,FALSE,"1","90001.1","Los Angeles","CA"
"19",90001,11555,-118.231885,33.961565,4836289,FALSE,"1","90001.1","Los Angeles","CA"
"20",90001,11555,-118.231599,33.960146,4836290,FALSE,"1","90001.1","Los Angeles","CA"
"21",90001,11555,-118.237366,33.960152,4836291,FALSE,"1","90001.1","Los Angeles","CA"
"22",90001,11555,-118.23737,33.958521,4836292,FALSE,"1","90001.1","Los Angeles","CA"
"23",90001,11555,-118.237949,33.96015,4836293,FALSE,"1","90001.1","Los Angeles","CA"
"24",90001,11555,-118.244994,33.959648,4836294,FALSE,"1","90001.1","Los Angeles","CA"
"25",90001,11555,-118.253962,33.959701,4836295,FALSE,"1","90001.1","Los Angeles","CA"
"26",90001,11555,-118.255899,33.960169,4836296,FALSE,"1","90001.1","Los Angeles","CA"
"27",90001,11555,-118.256393,33.960171,4836297,FALSE,"1","90001.1","Los Angeles","CA"
"28",90001,11555,-118.258575,33.959577,4836298,FALSE,"1","90001.1","Los Angeles","CA"
"29",90001,11555,-118.260753,33.960149,4836299,FALSE,"1","90001.1","Los Angeles","CA"
"30",90001,11555,-118.265118,33.96013,4836300,FALSE,"1","90001.1","Los Angeles","CA"
"31",90001,11555,-118.265166,33.974735,4836301,FALSE,"1","90001.1","Los Angeles","CA"
