"","id","long","lat","order","hole","piece","group","city","state","count"
"60","90002",-118.243742,33.937853,4836330,FALSE,"1","90002.1","Los Angeles","CA",11429
"61","90002",-118.246961,33.938337,4836331,FALSE,"1","90002.1","Los Angeles","CA",11429
"62","90002",-118.254167,33.938272,4836332,FALSE,"1","90002.1","Los Angeles","CA",11429
"63","90002",-118.254156,33.939249,4836333,FALSE,"1","90002.1","Los Angeles","CA",11429
"64","90002",-118.256533,33.938755,4836334,FALSE,"1","90002.1","Los Angeles","CA",11429
"65","90002",-118.26082,33.939275,4836335,FALSE,"1","90002.1","Los Angeles","CA",11429
"66","90002",-118.265158,33.939292,4836336,FALSE,"1","90002.1","Los Angeles","CA",11429
"67","90002",-118.26499,33.943754,4836337,FALSE,"1","90002.1","Los Angeles","CA",11429
"68","90002",-118.263775,33.943582,4836338,FALSE,"1","90002.1","Los Angeles","CA",11429
"69","90002",-118.263776,33.945463,4836339,FALSE,"1","90002.1","Los Angeles","CA",11429
"70","90002",-118.265161,33.945599,4836340,FALSE,"1","90002.1","Los Angeles","CA",11429
"71","90002",-118.265118,33.96013,4836341,FALSE,"1","90002.1","Los Angeles","CA",11429
"72","90003",-118.283204,33.989139,4836342,FALSE,"1","90003.1","Los Angeles","CA",27358
"73","90003",-118.28039,33.989154,4836343,FALSE,"1","90003.1","Los Angeles","CA",27358
"74","90003",-118.273928,33.989191,4836344,FALSE,"1","90003.1","Los Angeles","CA",27358
"75","90003",-118.271808,33.9892,4836345,FALSE,"1","90003.1","Los Angeles","CA",27358
"76","90003",-118.271807,33.986143,4836346,FALSE,"1","90003.1","Los Angeles","CA",27358
"77","90003",-118.270526,33.986067,4836347,FALSE,"1","90003.1","Los Angeles","CA",27358
"78","90003",-118.270528,33.989205,4836348,FALSE,"1","90003.1","Los Angeles","CA",27358
"79","90003",-118.265185,33.989227,4836349,FALSE,"1","90003.1","Los Angeles","CA",27358
"80","90003",-118.265174,33.981828,4836350,FALSE,"1","90003.1","Los Angeles","CA",27358
"81","90003",-118.262981,33.981836,4836351,FALSE,"1","90003.1","Los Angeles","CA",27358
"82","90003",-118.262969,33.974746,4836352,FALSE,"1","90003.1","Los Angeles","CA",27358
"83","90003",-118.265166,33.974735,4836353,FALSE,"1","90003.1","Los Angeles","CA",27358
"84","90003",-118.265118,33.96013,4836354,FALSE,"1","90003.1","Los Angeles","CA",27358
"85","90003",-118.265161,33.945599,4836355,FALSE,"1","90003.1","Los Angeles","CA",27358
"86","90003",-118.263776,33.945463,4836356,FALSE,"1","90003.1","Los Angeles","CA",27358
"87","90003",-118.263775,33.943582,4836357,FALSE,"1","90003.1","Los Angeles","CA",27358
"88","90003",-118.26499,33.943754,4836358,FALSE,"1","90003.1","Los Angeles","CA",27358
"89","90003",-118.265158,33.939292,4836359,FALSE,"1","90003.1","Los Angeles","CA",27358
"90","90003",-118.265158,33.938348,4836360,FALSE,"1","90003.1","Los Angeles","CA",27358
"91","90003",-118.26606,33.938799,4836361,FALSE,"1","90003.1","Los Angeles","CA",27358
"92","90003",-118.273869,33.938796,4836362,FALSE,"1","90003.1","Los Angeles","CA",27358
"93","90003",-118.27834,33.939199,4836363,FALSE,"1","90003.1","Los Angeles","CA",27358
"94","90003",-118.278338,33.938276,4836364,FALSE,"1","90003.1","Los Angeles","CA",27358
"95","90003",-118.2798,33.938268,4836365,FALSE,"1","90003.1","Los Angeles","CA",27358
"96","90003",-118.28053,33.939189,4836366,FALSE,"1","90003.1","Los Angeles","CA",27358
"97","90003",-118.282594,33.939181,4836367,FALSE,"1","90003.1","Los Angeles","CA",27358
"98","90003",-118.282664,33.987364,4836368,FALSE,"1","90003.1","Los Angeles","CA",27358
"99","90003",-118.283204,33.989139,4836369,FALSE,"1","90003.1","Los Angeles","CA",27358
"100","90004",-118.338583,34.083457,4836370,FALSE,"1","90004.1","Los Angeles","CA",20746
"101","90004",-118.330959,34.083466,4836371,FALSE,"1","90004.1","Los Angeles","CA",20746
"102","90004",-118.331063,34.08165,4836372,FALSE,"1","90004.1","Los Angeles","CA",20746
"103","90004",-118.328383,34.081661,4836373,FALSE,"1","90004.1","Los Angeles","CA",20746
"104","90004",-118.327707,34.083482,4836374,FALSE,"1","90004.1","Los Angeles","CA",20746
"105","90004",-118.324854,34.083493,4836375,FALSE,"1","90004.1","Los Angeles","CA",20746
"106","90004",-118.324848,34.081674,4836376,FALSE,"1","90004.1","Los Angeles","CA",20746
"107","90004",-118.323659,34.081677,4836377,FALSE,"1","90004.1","Los Angeles","CA",20746
"108","90004",-118.323665,34.083496,4836378,FALSE,"1","90004.1","Los Angeles","CA",20746
"109","90004",-118.317883,34.083502,4836379,FALSE,"1","90004.1","Los Angeles","CA",20746
"110","90004",-118.317877,34.081661,4836380,FALSE,"1","90004.1","Los Angeles","CA",20746
